id,station,date,prcp,tobs
134,USC00519397,2010-06-01,0.0,78.0
135,USC00519397,2010-06-02,0.01,76.0
136,USC00519397,2010-06-03,0.0,78.0
137,USC00519397,2010-06-04,0.0,76.0
138,USC00519397,2010-06-05,0.0,77.0
139,USC00519397,2010-06-06,0.0,78.0
140,USC00519397,2010-06-07,0.0,77.0
141,USC00519397,2010-06-08,0.0,78.0
142,USC00519397,2010-06-09,0.0,78.0
143,USC00519397,2010-06-10,0.0,79.0
144,USC00519397,2010-06-11,0.0,78.0
145,USC00519397,2010-06-12,0.0,78.0
146,USC00519397,2010-06-13,0.0,78.0
147,USC00519397,2010-06-14,0.0,77.0
148,USC00519397,2010-06-15,0.0,78.0
149,USC00519397,2010-06-16,0.0,78.0
150,USC00519397,2010-06-17,0.0,77.0
151,USC00519397,2010-06-18,0.0,77.0
152,USC00519397,2010-06-19,0.0,82.0
153,USC00519397,2010-06-20,0.0,78.0
154,USC00519397,2010-06-21,0.0,78.0
155,USC00519397,2010-06-22,0.0,78.0
156,USC00519397,2010-06-23,0.0,78.0
157,USC00519397,2010-06-24,0.0,78.0
158,USC00519397,2010-06-25,0.0,77.0
159,USC00519397,2010-06-26,0.02,76.0
160,USC00519397,2010-06-27,0.0,78.0
161,USC00519397,2010-06-28,0.0,78.0
162,USC00519397,2010-06-29,0.0,78.0
163,USC00519397,2010-06-30,0.0,78.0
471,USC00519397,2011-06-01,0.07,77.0
472,USC00519397,2011-06-02,0.0,78.0
473,USC00519397,2011-06-03,0.56,73.0
474,USC00519397,2011-06-04,0.89,70.0
475,USC00519397,2011-06-05,0.0,76.0
476,USC00519397,2011-06-06,0.0,77.0
477,USC00519397,2011-06-07,0.0,77.0
478,USC00519397,2011-06-08,0.03,77.0
479,USC00519397,2011-06-09,0.01,77.0
480,USC00519397,2011-06-10,0.0,78.0
481,USC00519397,2011-06-11,0.0,77.0
482,USC00519397,2011-06-12,0.0,77.0
483,USC00519397,2011-06-13,0.0,78.0
484,USC00519397,2011-06-14,0.0,78.0
485,USC00519397,2011-06-15,0.0,77.0
486,USC00519397,2011-06-17,0.0,78.0
487,USC00519397,2011-06-18,0.0,78.0
488,USC00519397,2011-06-19,0.05,75.0
489,USC00519397,2011-06-20,0.06,76.0
490,USC00519397,2011-06-21,0.07,76.0
491,USC00519397,2011-06-24,,77.0
492,USC00519397,2011-06-25,0.0,78.0
493,USC00519397,2011-06-26,0.0,76.0
494,USC00519397,2011-06-27,0.01,77.0
495,USC00519397,2011-06-28,0.01,75.0
496,USC00519397,2011-06-29,0.0,77.0
824,USC00519397,2012-06-01,0.02,76.0
825,USC00519397,2012-06-02,0.02,76.0
826,USC00519397,2012-06-03,0.0,75.0
827,USC00519397,2012-06-04,0.0,77.0
828,USC00519397,2012-06-05,0.0,77.0
829,USC00519397,2012-06-06,0.0,76.0
830,USC00519397,2012-06-07,0.0,78.0
831,USC00519397,2012-06-08,,77.0
832,USC00519397,2012-06-09,,76.0
833,USC00519397,2012-06-10,0.0,77.0
834,USC00519397,2012-06-11,0.0,76.0
835,USC00519397,2012-06-12,0.0,76.0
836,USC00519397,2012-06-13,0.0,77.0
837,USC00519397,2012-06-14,0.0,77.0
838,USC00519397,2012-06-15,0.0,78.0
839,USC00519397,2012-06-16,0.0,77.0
840,USC00519397,2012-06-17,0.0,77.0
841,USC00519397,2012-06-18,0.0,77.0
842,USC00519397,2012-06-19,0.0,76.0
843,USC00519397,2012-06-20,0.0,75.0
844,USC00519397,2012-06-21,0.0,76.0
845,USC00519397,2012-06-22,0.0,76.0
846,USC00519397,2012-06-23,0.0,77.0
847,USC00519397,2012-06-24,0.0,76.0
848,USC00519397,2012-06-25,0.03,73.0
849,USC00519397,2012-06-26,0.15,73.0
850,USC00519397,2012-06-27,0.01,75.0
851,USC00519397,2012-06-28,0.0,77.0
852,USC00519397,2012-06-29,0.05,76.0
853,USC00519397,2012-06-30,0.0,77.0
1188,USC00519397,2013-06-01,0.01,79.0
1189,USC00519397,2013-06-02,0.0,78.0
1190,USC00519397,2013-06-03,0.0,79.0
1191,USC00519397,2013-06-04,0.0,78.0
1192,USC00519397,2013-06-05,0.0,78.0
1193,USC00519397,2013-06-06,0.0,79.0
1194,USC00519397,2013-06-07,0.0,77.0
1195,USC00519397,2013-06-08,0.0,77.0
1196,USC00519397,2013-06-09,0.0,77.0
1197,USC00519397,2013-06-10,0.0,77.0
1198,USC00519397,2013-06-11,0.0,77.0
1199,USC00519397,2013-06-12,0.0,78.0
1200,USC00519397,2013-06-13,0.0,77.0
1201,USC00519397,2013-06-14,0.37,76.0
1202,USC00519397,2013-06-15,0.0,78.0
1203,USC00519397,2013-06-16,0.0,78.0
1204,USC00519397,2013-06-17,0.0,77.0
1205,USC00519397,2013-06-18,0.01,78.0
1206,USC00519397,2013-06-19,0.0,78.0
1207,USC00519397,2013-06-20,0.04,73.0
1208,USC00519397,2013-06-21,0.12,76.0
1209,USC00519397,2013-06-22,0.04,77.0
1210,USC00519397,2013-06-23,0.02,75.0
1211,USC00519397,2013-06-24,0.35,76.0
1212,USC00519397,2013-06-25,0.03,74.0
1213,USC00519397,2013-06-26,0.01,75.0
1214,USC00519397,2013-06-27,0.0,77.0
1215,USC00519397,2013-06-28,0.0,76.0
1216,USC00519397,2013-06-29,0.03,77.0
1217,USC00519397,2013-06-30,0.01,78.0
1553,USC00519397,2014-06-01,0.0,79.0
1554,USC00519397,2014-06-02,0.66,77.0
1555,USC00519397,2014-06-03,0.01,78.0
1556,USC00519397,2014-06-04,0.0,79.0
1557,USC00519397,2014-06-05,0.0,78.0
1558,USC00519397,2014-06-06,0.0,78.0
1559,USC00519397,2014-06-07,0.03,78.0
1560,USC00519397,2014-06-08,0.0,78.0
1561,USC00519397,2014-06-09,0.0,79.0
1562,USC00519397,2014-06-10,0.0,79.0
1563,USC00519397,2014-06-11,0.0,82.0
1564,USC00519397,2014-06-12,0.0,80.0
1565,USC00519397,2014-06-13,0.0,79.0
1566,USC00519397,2014-06-14,0.0,79.0
1567,USC00519397,2014-06-15,0.01,78.0
1568,USC00519397,2014-06-16,0.0,78.0
1569,USC00519397,2014-06-17,0.03,77.0
1570,USC00519397,2014-06-18,0.15,78.0
1571,USC00519397,2014-06-19,0.01,78.0
